EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0179,FILL VIA METAL,FILL VIA TUNGSTEN,RAPID THERMAL ANNEAL,WAFER CLEAN PRE-GRIND,OPEN BOND PAD WINDOW
valid_0180,MEASURE PAD OPENING,BACKSIDE THINNING CHECK,BACKSIDE CLEAN FINAL,BACKSIDE CLEAN,FINAL CLEAN
valid_0181,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,STRIP RESIST LEVEL 4,EXPOSE LITHO LEVEL 3
valid_0182,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE OPENING CD
valid_0183,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE VIA CD,ALIGN MASK LEVEL 1,CMP METAL
valid_0184,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,STRIP RESIST LEVEL 5,MEASURE WAFER THICKNESS
valid_0185,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,DEPOSIT POLYSILICON
valid_0186,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,CLEAN AFTER VIA ETCH,DEPOSIT INTERLAYER DIELECTRIC
valid_0187,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,MEASURE PASSIVATION QUALITY,LOT IDENTIFICATION
valid_0188,STRIP PHOTORESIST,STRIP RESIST,ELECTRICAL PARAMETRIC TEST,CLEAN AFTER VIA ETCH,STRIP RESIST LEVEL 5
valid_0189,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0190,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0191,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH
valid_0192,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH PAD OPENING,STRIP RESIST LEVEL 5,VIA ETCH THROUGH DIELECTRIC
valid_0193,CLEAN AFTER VIA ETCH,MEASURE DIELECTRIC THICKNESS,DEPOSIT BARRIER METAL,MEASURE VIA CD,CLEAN AFTER POLY ETCH
valid_0194,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,BACKSIDE GRIND,CLEAN PAD OPENING
valid_0195,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0196,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH
valid_0197,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH,RAPID THERMAL ANNEAL,DENSIFY DIELECTRIC
valid_0198,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0199,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0200,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,MEASURE WAFER THICKNESS,VIA ETCH THROUGH DIELECTRIC
valid_0201,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,LOT RELEASE
valid_0202,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,DEPOSIT METAL 1
valid_0203,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,OXIDE ETCH DRY
valid_0204,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,DEPOSIT METAL 1
valid_0205,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,POST EXPOSE BAKE,DEVELOP PHOTORESIST,MEASURE SURFACE PLANARITY
valid_0206,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,DEPOSIT PASSIVATION LAYER,EPITAXIAL WAFER CHECK,PRE ANNEAL CHECK
valid_0207,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY
valid_0208,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,DEPOSIT TOP METAL
valid_0209,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY
valid_0210,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,CURE PASSIVATION
valid_0211,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,RCA CLEAN 1
valid_0212,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE SURFACE UNIFORMITY
valid_0213,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,POST EXPOSE BAKE,DEVELOP PHOTORESIST,MEASURE SURFACE PLANARITY
valid_0214,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,DEPOSIT PASSIVATION LAYER,EPITAXIAL WAFER CHECK,PRE ANNEAL CHECK
valid_0215,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW
valid_0216,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0217,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY
valid_0218,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT METAL 1
valid_0219,SOFT BAKE,SPIN COAT PHOTORESIST,FINAL LOT RELEASE,DEPOSIT METAL SEED,ANNEAL METAL
valid_0220,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0221,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0222,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0223,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0224,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,EPITAXIAL WAFER CHECK,DEPOSIT PASSIVATION LAYER,PRE ANNEAL CHECK
valid_0225,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,POST EXPOSE BAKE,MEASURE CD LEVEL 1,EXPOSE LITHO LEVEL 5
valid_0226,CURE PASSIVATION,EPITAXIAL WAFER CHECK,PAD WINDOW LITHO,PRE ANNEAL CHECK,OPEN PAD WINDOW LITHO
valid_0227,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST
valid_0228,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,CURE PASSIVATION,LOT IDENTIFICATION
valid_0229,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,VIA ETCH THROUGH DIELECTRIC,MEASURE POLY THICKNESS,MEASURE CD LEVEL 1
valid_0230,CURE PASSIVATION,RECEIVE WAFER LOT,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,METAL PATTERN INSPECTION
valid_0231,DENSIFY OXIDE,DENSIFY DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,STRIP PHOTORESIST,MEASURE DIELECTRIC THICKNESS
valid_0232,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE WINDOW CD,ELECTRICAL PARAMETRIC TEST
valid_0233,SOFT BAKE,SPIN COAT PHOTORESIST,DEPOSIT METAL SEED,FINAL LOT RELEASE,ALIGN MASK LEVEL 5
valid_0234,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,PRE ANNEAL CHECK,DEPOSIT PASSIVATION LAYER,EPITAXIAL WAFER CHECK
valid_0235,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,LOT RELEASE,MEASURE SURFACE PLANARITY
valid_0236,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,CLEAN AFTER METAL ETCH
valid_0237,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,OXIDE ETCH DRY,OXIDE ETCH
valid_0238,CURE PASSIVATION,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,OPEN PAD WINDOW LITHO,ETCH SILICON OR OXIDE WINDOW
valid_0239,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,RCA CLEAN 1,CMP INTERLAYER DIELECTRIC
valid_0240,CURE PASSIVATION,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,OPEN PAD WINDOW LITHO,DEPOSIT PASSIVATION
valid_0241,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY DIELECTRIC
valid_0242,CURE PASSIVATION,DEPOSIT BACKSIDE METAL,DEPOSIT PASSIVATION LAYER,EPITAXIAL WAFER CHECK,BACKSIDE RINSE
valid_0243,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY
valid_0244,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,IMPLANT LDD
valid_0245,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,MEASURE POLY THICKNESS,VIA ETCH THROUGH DIELECTRIC
valid_0246,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0247,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,OXIDE ETCH,MEASURE CD LEVEL 1,VIA ETCH THROUGH DIELECTRIC
valid_0248,CURE PASSIVATION,PRE ANNEAL CHECK,PAD WINDOW LITHO,ANNEAL METAL 1,EPITAXIAL WAFER CHECK
valid_0249,SOFT BAKE,SPIN COAT PHOTORESIST,CLEAN AFTER VIA ETCH,SWITCHING TEST,MEASURE PASSIVATION QUALITY
valid_0250,CURE PASSIVATION,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 6,OPEN PAD WINDOW LITHO,EPITAXIAL WAFER CHECK
valid_0251,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0252,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0253,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,OXIDE ETCH,VIA ETCH THROUGH DIELECTRIC,MEASURE PLANARITY
valid_0254,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0255,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0256,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0257,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,POST EXPOSE BAKE,DEVELOP PHOTORESIST,EXPOSE LITHO LEVEL 5
valid_0258,CURE PASSIVATION,EPITAXIAL WAFER CHECK,RECEIVE WAFER LOT,DEPOSIT BACKSIDE METAL,PAD WINDOW LITHO
valid_0259,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0260,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,EPITAXIAL WAFER CHECK,DEPOSIT PASSIVATION LAYER,PRE ANNEAL CHECK
valid_0261,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0262,CURE PASSIVATION,EPITAXIAL WAFER CHECK,RECEIVE WAFER LOT,DEPOSIT BACKSIDE METAL,PRE ANNEAL CHECK
valid_0263,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY,LOT RELEASE
valid_0264,CURE PASSIVATION,PAD WINDOW LITHO,PRE ANNEAL CHECK,DEPOSIT PASSIVATION,DEPOSIT BACKSIDE METAL
valid_0265,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY OXIDE
valid_0266,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,EXPOSE LITHO LEVEL 6
valid_0267,SOFT BAKE,SPIN COAT PHOTORESIST,FINAL LOT RELEASE,DEPOSIT METAL SEED,ANNEAL METAL
valid_0268,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,DEPOSIT PASSIVATION LAYER,PRE ANNEAL CHECK,EPITAXIAL WAFER CHECK
valid_0269,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,OXIDE ETCH DRY,OXIDE ETCH
valid_0270,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CURE PASSIVATION
valid_0271,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0272,CURE PASSIVATION,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,OPEN PAD WINDOW LITHO,ETCH SILICON OR OXIDE WINDOW
valid_0273,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY OXIDE
valid_0274,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,CURE PASSIVATION
valid_0275,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,VIA ETCH THROUGH DIELECTRIC,MEASURE CD LEVEL 1
valid_0276,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,DEPOSIT PASSIVATION LAYER,PRE ANNEAL CHECK,PAD WINDOW LITHO
valid_0277,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,OXIDE ETCH,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0278,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0279,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,OXIDE ETCH DRY,MEASURE PLANARITY
valid_0280,CURE PASSIVATION,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,EXPOSE LITHO LEVEL 6,OPEN PAD WINDOW LITHO
valid_0281,DENSIFY OXIDE,DENSIFY DIELECTRIC,STRIP PHOTORESIST,DEPOSIT INTERLAYER DIELECTRIC,STRIP RESIST
valid_0282,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,MEASURE LINE WIDTH,ALIGN MASK LEVEL 6,METAL PATTERN INSPECTION
valid_0283,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW
valid_0284,CURE PASSIVATION,EPITAXIAL WAFER CHECK,RECEIVE WAFER LOT,DEPOSIT PASSIVATION,PRE ANNEAL CHECK
valid_0285,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST
valid_0286,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,DEPOSIT METAL 1
valid_0287,EXPOSE LITHO LEVEL 5,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST,ELECTRICAL PARAMETRIC TEST
valid_0288,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0289,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,OXIDE ETCH,MEASURE CD LEVEL 1
valid_0290,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,CURE PASSIVATION
valid_0291,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,VIA ETCH THROUGH DIELECTRIC
valid_0292,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,DEPOSIT PASSIVATION LAYER,PAD WINDOW LITHO,PRE ANNEAL CHECK
valid_0293,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE CD LEVEL 1,OXIDE ETCH DRY
valid_0294,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE LINE WIDTH,CURE PASSIVATION,DEPOSIT METAL 1
valid_0295,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT INTERLAYER DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0296,CURE PASSIVATION,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,EXPOSE LITHO LEVEL 6,EPITAXIAL WAFER CHECK
valid_0297,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY DIELECTRIC
valid_0298,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,ELECTRICAL PARAMETRIC TEST
valid_0299,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,OPEN BOND PAD WINDOW
valid_0300,CURE PASSIVATION,EPITAXIAL WAFER CHECK,RECEIVE WAFER LOT,DEPOSIT BACKSIDE METAL,PAD WINDOW LITHO
valid_0301,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT INTERLAYER DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0302,CURE PASSIVATION,PAD WINDOW LITHO,DEPOSIT PASSIVATION LAYER,EXPOSE LITHO LEVEL 6,OPEN PAD WINDOW LITHO
valid_0303,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY DIELECTRIC
valid_0304,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,MEASURE WINDOW CD
valid_0305,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,EPITAXIAL WAFER CHECK,MEASURE SURFACE PLANARITY,POST EXPOSE BAKE
valid_0306,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CURE PASSIVATION
valid_0307,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT INTERLAYER DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0308,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,EPITAXIAL WAFER CHECK,PAD WINDOW LITHO,EXPOSE LITHO LEVEL 6
valid_0309,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,OXIDE ETCH DRY,MEASURE CD LEVEL 1,VIA ETCH THROUGH DIELECTRIC
valid_0310,CURE PASSIVATION,EXPOSE LITHO LEVEL 6,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,EPITAXIAL WAFER CHECK
valid_0311,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT INTERLAYER DIELECTRIC,CMP INTERLAYER DIELECTRIC
valid_0312,CURE PASSIVATION,PAD WINDOW LITHO,DEPOSIT PASSIVATION LAYER,EXPOSE LITHO LEVEL 6,OPEN PAD WINDOW LITHO
valid_0313,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,LOT RELEASE
valid_0314,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,CURE PASSIVATION
valid_0315,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,OXIDE ETCH,MEASURE CD LEVEL 1
valid_0316,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,ELECTRICAL PARAMETRIC TEST
valid_0317,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,DENSIFY OXIDE
valid_0318,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE POLY THICKNESS
valid_0319,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,MEASURE CONTACT RESISTANCE
valid_0320,CURE PASSIVATION,PRE ANNEAL CHECK,DEPOSIT BACKSIDE METAL,RECEIVE WAFER LOT,EPITAXIAL WAFER CHECK
valid_0321,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,OXIDE ETCH,VIA ETCH THROUGH DIELECTRIC
valid_0322,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,PRE ANNEAL CHECK,PAD WINDOW LITHO,LEAKAGE TEST
valid_0323,SOFT BAKE,FINAL LOT RELEASE,MEASURE VIA CD,FINAL THICKNESS MEASURE,SPIN COAT PHOTORESIST
valid_0324,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PASSIVATION QUALITY,PAD WINDOW LITHO,BACKSIDE GRIND
valid_0325,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY
valid_0326,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,ALIGN MASK LEVEL 6,DEPOSIT METAL 1
valid_0327,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,OXIDE ETCH DRY,MEASURE POLY THICKNESS
valid_0328,CURE PASSIVATION,DEPOSIT BACKSIDE METAL,EXPOSE LITHO LEVEL 6,PAD WINDOW LITHO,DEPOSIT PASSIVATION LAYER
valid_0329,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0330,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE PLANARITY
valid_0331,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC
valid_0332,CURE PASSIVATION,PAD WINDOW LITHO,RECEIVE WAFER LOT,EPITAXIAL WAFER CHECK,PRE ANNEAL CHECK
valid_0333,DENSIFY OXIDE,DENSIFY DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE BACKSIDE ROUGHNESS
valid_0334,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,ELECTRICAL PARAMETRIC TEST,CLEAN AFTER METAL ETCH
valid_0335,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE SURFACE PLANARITY
valid_0336,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE POLY THICKNESS
valid_0337,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY
valid_0338,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,CURE PASSIVATION
valid_0339,SOFT BAKE,FINAL LOT RELEASE,SPIN COAT PHOTORESIST,ANNEAL METAL,CMP VIA FILL
valid_0340,CURE PASSIVATION,PAD WINDOW LITHO,EPITAXIAL WAFER CHECK,OPEN PAD WINDOW LITHO,ANNEAL METAL
valid_0341,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,EPITAXIAL WAFER CHECK,POST EXPOSE BAKE,MEASURE SURFACE PLANARITY
valid_0342,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,SPIN COAT PHOTORESIST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0343,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,OXIDE ETCH DRY
valid_0344,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE POLY THICKNESS
valid_0345,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,OXIDE ETCH
valid_0346,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,MEASURE OXIDE QUALITY
valid_0347,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,LOT RELEASE
